word,onset+vowel
裝飾,zo
窗花,coe
知道,zi
商業,soe
癡情,ci
蔬菜,so
春天,ceo
珠寶,zyu
詢問,seo
初步,co
遮掩,ze
相片,soe
鑽石,zyu
車廂,ce
舒服,syu
遵守,zeo
斜坡,ce
信心,seo
唱歌,coe
佐證,zo
次序,ci
中心,zu
錯覺,co
智慧,zi
鬆軟,su
渣滓,zaa
庶民,syu
差別,caa
喪失,so
進修,zeo
沙灘,saa
衝動,cu
借錢,ze
沙嗲,saa
處所,cyu
些微,se
種植,zu
卸妝,se
炸雞,zaa
思考,si
將來,zoe
詫異,caa
試驗,si
賬戶,zoe
出口,ceo
送禮,su
